product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description
CAKE-USD,1.371,-3.31452750352609,20297.13,-9.28498865455085,0.01,0.001,1,10000000,0.01,3707172.1088004513753587,PancakeSwap,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,CAKE,,,,['CAKE-USDC'],CAKE,USD,False,0.001,CAKE-USD,CBE,27827.37,2025-06-11T16:32:00.031Z,,,,,,,,False,
CAKE-USDC,1.371,-3.31452750352609,20297.13,-9.28498865455085,0.01,0.001,1,10000000,0.01,3707172.1088004513753587,PancakeSwap,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,CAKE,,,CAKE-USD,[],CAKE,USD,False,0.001,CAKE-USDC,CBE,27827.37,2025-06-11T16:32:00.031Z,,,,,,,,False,
SHDW-USD,0.031,-3.125,885808.06,182.91999910953513,0.01,0.001,1,10000000,0.01,5360797.7564699073055566,Shadow Token,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SHDW,,,,['SHDW-USDC'],SHDW,USD,False,0.001,SHDW-USD,CBE,27460.05,2024-04-09T15:55:00.480Z,,,,,,,,False,
SHDW-USDC,0.031,-3.125,885808.06,182.91999910953513,0.01,0.001,1,10000000,0.01,5360797.7564699073055566,Shadow Token,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SHDW,,,SHDW-USD,[],SHDW,USD,False,0.001,SHDW-USDC,CBE,27460.05,2024-04-09T15:55:00.480Z,,,,,,,,False,
USDS-USD,0.9996,0,27330.72,75.82606480367572,0.01,0.0001,1,10000000,0.01,10013054.3567643050871581,USDS,US Dollar,False,False,False,online,False,True,False,False,False,SPOT,USD,USDS,,,,['USDS-USDC'],USDS,USD,False,0.0001,USDS-USD,CBE,27319.79,2025-07-09T19:48:00.023Z,,,,,,,,False,
USDS-USDC,0.9996,0,27330.72,75.82606480367572,0.01,0.0001,1,10000000,0.01,10013054.3567643050871581,USDS,USDC,False,False,False,online,False,True,False,False,False,SPOT,USDC,USDS,,,USDS-USD,[],USDS,USD,False,0.0001,USDS-USDC,CBE,27319.79,2025-07-09T19:48:00.023Z,,,,,,,,False,
ELSA-USD,0.0718,-0.13908205841446,379901,58.83191329865714,0.1,0.0001,1,10000000,0.1,68582850.1531169732306758,Elsa,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ELSA,,,,['ELSA-USDC'],ELSA,USD,False,0.0001,ELSA-USD,CBE,27276.89,2026-01-20T16:54:03.382Z,,,,,,,,False,
ELSA-USDC,0.0718,-0.13908205841446,379901,58.83191329865714,0.1,0.0001,1,10000000,0.1,68582850.1531169732306758,Elsa,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ELSA,,,ELSA-USD,[],ELSA,USD,False,0.0001,ELSA-USDC,CBE,27276.89,2026-01-20T16:54:03.382Z,,,,,,,,False,
LPT-USD,2.22,0,12250.394,15.3155709137359,0.001,0.01,1,10000000,0.001,1667700,Livepeer,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,LPT,,,,['LPT-USDC'],LPT,USD,False,0.01,LPT-USD,CBE,27195.87,2023-01-01T00:00:00Z,,,,,,,,False,
LPT-USDC,2.22,0,12250.394,15.3155709137359,0.001,0.01,1,10000000,0.001,1667700,Livepeer,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,LPT,,,LPT-USD,[],LPT,USD,False,0.01,LPT-USDC,CBE,27195.87,2023-01-01T00:00:00Z,,,,,,,,False,
